Parámetro,Valor,Tiempo (s),Objetivo,Nodos,Brecha (%)

mip.strategy.nodeselect,0.0,271.2806420326233,210371.99995000003,1883,0.0
mip.strategy.nodeselect,1.0,250.54530715942383,210371.99995000003,2089,0.0
mip.strategy.nodeselect,2.0,256.92919421195984,210371.99995000003,2138,0.0
mip.strategy.nodeselect,3.0,230.63916730880737,210371.99995000003,2033,0.0
mip.strategy.variableselect,-1.0,249.5039210319519,210371.99995000003,4186,0.0
mip.strategy.variableselect,0.0,242.89355039596558,210371.99995000003,2089,0.0
mip.strategy.variableselect,1.0,441.2464187145233,210371.99995000003,5241,0.0
mip.strategy.variableselect,2.0,74.0875792503357,210371.99995000003,3,0.0
mip.strategy.variableselect,3.0,77.26455020904541,210371.99995000003,1,0.0
mip.strategy.variableselect,4.0,254.93181896209717,210371.99995000003,2089,0.0
preprocessing.presolve,0.0,758.9444329738617,210371.99995000003,526,0.0
preprocessing.presolve,1.0,290.94775676727295,210371.99995000003,2089,0.0
mip.strategy.heuristiceffort,0.0,771.5377316474915,210371.99995000003,6555,0.0
mip.strategy.heuristiceffort,0.5,193.6322205066681,210371.99995000003,345,0.0
mip.strategy.heuristiceffort,1.0,233.95151567459106,210371.99995000003,2089,0.0
mip.strategy.heuristiceffort,2.0,48.09733557701111,210371.99995000003,0,0.0
